minute,2011f,2011h,1974h,1984h,1994h,2004h
0,1,1,1,1,1,1
5,2,2,0,3,3,4
10,2,2,0,2,3,5
15,1,0,0,4,7,1
20,1,5,1,2,16,6
25,1,5,0,6,13,3
30,4,8,0,6,10,4
35,4,7,4,6,15,8
40,1,7,0,6,16,10
45,1,8,2,11,18,9
50,0,12,1,4,22,13
55,8,9,0,12,13,18
60,5,15,4,11,22,23
65,4,16,3,10,23,15
70,2,11,1,13,21,17
75,1,18,3,17,20,16
80,4,16,4,22,32,24
85,4,22,1,7,26,24
90,6,27,1,14,24,24
95,5,22,2,8,17,10
100,3,22,0,16,24,12
105,5,13,2,9,17,19
110,3,14,2,14,20,18
115,3,24,2,3,13,17
120,1,21,0,6,17,10
125,1,24,2,10,10,17
130,2,14,0,7,13,9
135,1,11,0,5,9,7
140,0,14,0,3,9,11
145,1,16,0,2,5,4
150,0,9,0,3,2,6
155,1,7,0,3,3,2
160,2,7,0,0,3,3
165,0,6,0,0,1,2
170,0,6,0,0,1,1
175,0,5,0,0,1,1
180,0,4,1,1,0,1
185,0,6,0,1,3,0
190,0,4,0,0,1,2
195,0,3,0,0,2,1
200,0,3,0,0,1,0
205,0,1,0,0,1,
210,0,3,0,0,2,
215,0,2,0,0,0,
220,0,2,0,1,0,
225,0,0,0,0,1,
230,0,0,0,1,0,
235,0,0,0,,0,
240,0,0,0,,1,
245,0,1,0,,,
250,0,0,0,,,
